name,phone,principal_contact,url,address,accreditation
Progressive Medical Billing,+12107331802,Leticia A. Cantu (Owner),https://www.bbb.org/us/tx/san-antonio/profile/billing-services/progressive-medical-billing-0825-90020942,"6655 First Park Ten Blvd Ste 216, San Antonio, TX 78213-4304",Accredited
Momentum Billing,+18668756527,N/A,https://www.bbb.org/us/ca/san-diego/profile/medical-billing/momentum-billing-1126-172017754,"13400 Sabre Springs Pkwy #150, San Diego, CA 92128",Non-Accredited
Centerline Medical Billing,+18008285133,Patrick Mahoney (Owner),https://www.bbb.org/us/ca/aliso-viejo/profile/medical-billing/centerline-medical-billing-1126-1000116438,"Aliso Viejo, CA 92653-4642",Accredited
Compass Billing,+13037131300,Ellen E. Stewart (Registered Agent),https://www.bbb.org/us/co/greenwood-village/profile/medical-billing/compass-billing-1296-90146804,"5350 Dtc Pkwy Ste 304, Greenwood Village, CO 80111",Non-Accredited
Matrix Medical Billing,+18888343477,Christian Burris (Member),https://www.bbb.org/us/az/mesa/profile/billing-services/matrix-medical-billing-1126-97026964,"2135 E. University Drive #120, Mesa, AZ 85213-8337",Non-Accredited
Medical Billing Partners,+14024135394,Taylor Santos (Owner),https://www.bbb.org/us/ne/lincoln/profile/medical-billing/medical-billing-partners-0714-1000061239,"Lincoln, NE 68505-0201",Non-Accredited
Springs Medical Billing,+17194008222,Christina Boyce (Owner),https://www.bbb.org/us/co/colorado-springs/profile/medical-billing/springs-medical-billing-0785-1000007536/addressId/54182,"PO Box 64258, Colorado Springs, CO 80962-4258",Non-Accredited
Veracity Medical Billing,+13175203555,Sharon Gall (President),https://www.bbb.org/us/in/zionsville/profile/medical-billing/veracity-medical-billing-0382-90050513,"220 South Elm Street, Zionsville, IN 46077",Non-Accredited
Midwest Medical Billing,+16145771077,Kelly Schaffer Rahe (President),https://www.bbb.org/us/oh/reynoldsburg/profile/medical-billing/midwest-medical-billing-0302-11006119,"6400 E Main St Ste 201, Reynoldsburg, OH 43068-2348",Non-Accredited
Specialized Medical Billing,+16144618154,Adrianne H. Nittala (Co-Owner),https://www.bbb.org/us/oh/worthington/profile/medical-billing/specialized-medical-billing-0302-70095304,"330 E Wilson Bridge Rd Ste 100, Worthington, OH 43085-6310",Accredited
Proclaims Medical Billing,+13862745712,Michelle Cavanaugh (President),https://www.bbb.org/us/fl/ormond-beach/profile/medical-billing/proclaims-medical-billing-0733-90136184,"785 W Granada Blvd Ste 5, Ormond Beach, FL 32174-5163",Non-Accredited
Blitz Medical Billing,+18553298220,Lilian Garcia (CEO),https://www.bbb.org/us/tx/frisco/profile/medical-billing/blitz-medical-billing-0875-91061873,"1701 Legacy Dr Ste 1200, Frisco, TX 75034-5991",Accredited
Medical Billing Center,+18646791600,Nicole Kluckhohn (CEO),https://www.bbb.org/us/sc/greenville/profile/medical-billing/medical-billing-center-0673-90039737,"401 Brookfield Pkwy Ste 500A, Greenville, SC 29607-5795",Non-Accredited
PC Medical Billing LLC,+13605398487,Patrick O'Neil (Managing Member),https://www.bbb.org/us/wa/tumwater/profile/medical-billing/pc-medical-billing-llc-1296-1000097169/addressId/641375,"PO Box 14546, Tumwater, WA 98511",Accredited
Specialty Billing Services,+19147717335,Jeannine Raciti (President),https://www.bbb.org/us/ny/yorktown-heights/profile/medical-billing/specialty-billing-services-0121-106473,"2649 Strang Blvd Ste 303, Yorktown Heights, NY 10598-2938",Non-Accredited
Orange County Medical Billing,+17148955614,Tracy Ann Jonas (Owner),https://www.bbb.org/us/ca/westminster/profile/medical-billing/orange-county-medical-billing-1126-13172913,"8311 Westminster Blvd Ste 340D, Westminster, CA 92683-8315",Non-Accredited
Diamond Medical Billing Services,+12537777762,Sunni Hearin (Owner),https://www.bbb.org/us/wa/renton/profile/medical-billing/diamond-medical-billing-services-1296-22719855,"13301 SE 79th Pl # A101, Renton, WA 98059-3265",Non-Accredited
Doctors Billing Pros,+16192292124,Lamont Wolfe (Owner),https://www.bbb.org/us/ca/san-diego/profile/medical-billing/doctors-billing-pros-1126-172001777,"PO Box 152865, San Diego, CA 92195",Non-Accredited
LPL Medical Billing Service,+13018318957,Lachee Lewis (Owner),https://www.bbb.org/us/md/frederick/profile/medical-billing/lpl-medical-billing-service-0011-90205853,"3606 John Simmons Ct, Frederick, MD 21704-7815",Non-Accredited
Quality Medical Billing Service,+15032531653,Kay Holmes (Owner),https://www.bbb.org/us/or/portland/profile/billing-services/quality-medical-billing-service-1296-75004277,"1404 SE 151st Ave, Portland, OR 97233-3054",Non-Accredited
Prescott Medical Billing Services,+19285335060,Kenneth Ficek (President/CEO),https://www.bbb.org/us/az/prescott/profile/medical-billing/prescott-medical-billing-services-1126-1000046455,"Prescott, AZ 86303-4132",Non-Accredited
Valcare Medical Billing Services,+15099722357,Carolyn Pierson (Owner),https://www.bbb.org/us/wa/yakima/profile/medical-billing/valcare-medical-billing-services-1296-1000009330,"208 1/2 S 40th Ave, Yakima, WA 98908",Non-Accredited
DDR Medical Billing & Consultants,+16028887063,Donna Suchil (Member),https://www.bbb.org/us/az/phoenix/profile/medical-billing/ddr-medical-billing-consultants-1126-1000047383,"2735 W Sweetwater Ave, Phoenix, AZ 85029-1311",Non-Accredited
Billing Partners Solution,+16026750161,Ruth M Gonzalez (Owner),https://www.bbb.org/us/az/phoenix/profile/medical-billing/billing-partners-solution-1126-1000047551,"5224 N 40th Dr, Phoenix, AZ 85019-2436",Accredited
Easy Billing Services,+16192462695,Danielle Gonzales (Owner),https://www.bbb.org/us/ca/san-diego/profile/billing-services/easy-billing-services-1126-1000113485,"1641 Burton St, San Diego, CA 92111-7526",Accredited
Platinum Medical Billing & Consulting,+16024330305,Anna M Whitt (Owner),https://www.bbb.org/us/az/mesa/profile/medical-billing/platinum-medical-billing-consulting-1126-1000085023,"1837 S Mesa Dr Ste B202, Mesa, AZ 85210-6219",Non-Accredited
Hernandez Healthcare Billing,+19287794404,Dorothy Hernandez (Manager),https://www.bbb.org/us/az/bellemont/profile/billing-services/hernandez-healthcare-billing-1126-1000040693,"Bellemont, AZ 86015",Non-Accredited
Billing Business Specialists,+15203169405,Jeri E. Theiler (Member),https://www.bbb.org/us/az/arizona-city/profile/medical-billing/billing-business-specialists-1126-1000047834,"PO Box 3121, Arizona City, AZ 85123-0828",Non-Accredited
Orange Sterling Billing,+14808435143,Lauren Rundall (Owner),https://www.bbb.org/us/az/phoenix/profile/billing-services/orange-sterling-billing-1126-1000110820,"10000 N 31st Ave Ste D214, Phoenix, AZ 85051-2001",Accredited
Apridas Medical Management & Billing,+14057459600,Becky Stubblefield (Owner),https://www.bbb.org/us/ok/mustang/profile/medical-case-management/apridas-medical-management-billing-0995-90024256,"2035 E State Hwy 152 Suite 103, Mustang, OK 73064",Non-Accredited
Doctors & MDs Billing,+18052104207,Lili Vizcardo (Owner),https://www.bbb.org/us/ca/simi-valley/profile/medical-billing/doctors-mds-billing-1236-92013897,"2667 Fallon Cir, Simi Valley, CA 93065-4720",Non-Accredited
Medical Claims & Billing Specialist,+18319013801,Diana Rosa (Co-Owner),https://www.bbb.org/us/ca/del-rey-oaks/profile/medical-billing/medical-claims-billing-specialist-1216-231036,"203C Calle Del Oaks, Del Rey Oaks, CA 93940-5710",Accredited
Young's Billing & Consulting,+17164082525,Daniel J. Young (President/CEO),https://www.bbb.org/us/ny/williamsville/profile/billing-services/youngs-billing-consulting-0041-235964412,"Williamsville, NY 14221-2609",Accredited
KSN Billing & Collections,+18554690959,Robin Bailey (CEO),https://www.bbb.org/us/nj/newark/profile/medical-billing/ksn-billing-collections-0221-90203827,"Newark, NJ 07103-3378",Non-Accredited
Certified Healthcare Billing,+16267919004,Julia Tashchyan (CEO),https://www.bbb.org/us/ca/sunland/profile/medical-billing/certified-healthcare-billing-1216-640510,"8055 Foothill Blvd, Sunland, CA 91040-2943",Accredited
"Metropolitan Medical Billing Services, Inc.",+14434013736,Michelle Macer (Manager),https://www.bbb.org/us/md/gwynn-oak/profile/medical-billing/metropolitan-medical-billing-services-inc-0011-90184972,"6606 Liberty Ter, Gwynn Oak, MD 21207-6208",Non-Accredited
"Borsu Medical Billing Services, LLC",+12028484873,Borsu Okpara (Owner),https://www.bbb.org/us/md/hyattsville/profile/medical-billing/borsu-medical-billing-services-llc-0241-236075667,"Hyattsville, MD 20782",Non-Accredited
ELS Medical Billing Group LLC,+18889277894,Ericia L. Smith (CEO),https://www.bbb.org/us/ga/lagrange/profile/medical-billing/els-medical-billing-group-llc-0743-91820311,"Lagrange, GA 30240-1158",Accredited
"RDY Billing Solutions, LLC",+16469160643,Regina Young (Owner),https://www.bbb.org/us/nc/monroe/profile/medical-billing/rdy-billing-solutions-llc-0473-92032450,"Monroe, NC 28112-4523",Non-Accredited
Home Sweet Billing LLC,+12085701752,Jodie M Crane (Member),https://www.bbb.org/us/id/boise/profile/medical-billing/home-sweet-billing-llc-1296-1000128966,"Boise, ID 83705-2077",Non-Accredited
Aloha Maui Billing Services,+18082767193,Jonelle Davis,https://www.bbb.org/us/hi/makawao/profile/medical-billing/aloha-maui-billing-services-1296-1000121014,"1135 Makawao Ave Ste 103, Makawao, HI 96768-7402",Accredited
Results Insurance Billing LLC,+15413938595,Kerrie Martinez (Owner/Partner),https://www.bbb.org/us/or/redmond/profile/medical-billing/results-insurance-billing-llc-1296-1000103296,"Redmond, OR 97756-9023",Non-Accredited
Pro Med Billing Associates,+18556309900,Sadna Mohan (President),https://www.bbb.org/us/il/aurora/profile/medical-billing/pro-med-billing-associates-0654-88207857,"800 S Frontenac St # 3, Aurora, IL 60504-3122",Non-Accredited
DeMonte Medical Billing Solutions LLC,+18889243627,Joanne Demonte (Owner),https://www.bbb.org/us/pa/jeannette/profile/medical-billing/demonte-medical-billing-solutions-llc-0141-71041213,"1000 Clay Ave, Jeannette, PA 15644-3466",Non-Accredited
Excellent Medical Billing Service (EMBS),+14073024606,Lillian M. Ramos (President),https://www.bbb.org/us/fl/sanford/profile/medical-billing/excellent-medical-billing-service-embs-0733-90179274,"401 E 1st St Unit 2939, Sanford, FL 32772-7620",Non-Accredited
C R Billing Svc,+17087486775,Connie Rawls (Owner),https://www.bbb.org/us/il/richton-park/profile/medical-billing/c-r-billing-svc-0654-88225214,"22816 Valley Dr, Richton Park, IL 60471-2337",Non-Accredited
Brumett Professional Billing Services,+16236800096,Rosemary Brumett (Manager),https://www.bbb.org/us/az/surprise/profile/billing-services/brumett-professional-billing-services-1126-1000028587,"27177 N 171st Ln, Surprise, AZ 85387-3409",Non-Accredited
"T.E.A.M. Medical Billing Solutions, LLC",+19193743384,Alison J. Kilgore (Managing Member),https://www.bbb.org/us/nc/wendell/profile/medical-billing/team-medical-billing-solutions-llc-0593-90191285,"24 Bluewater Court, Wendell, NC 27591-9609",Non-Accredited
D M Billing Service,+16195612969,Dana Manjarrez (Owner),https://www.bbb.org/us/ca/lakeside/profile/billing-services/d-m-billing-service-1126-30004014,"Lakeside, CA 92040",Non-Accredited
Blue Sky Billing Solutions,+17724290692,Debbie Drennan (Managing Member),https://www.bbb.org/us/fl/fort-pierce/profile/medical-billing/blue-sky-billing-solutions-0633-90428573,"101 N US Highway 1 STE 118, Fort Pierce, FL 34950-4254",Non-Accredited
"Medical Billing, Etc.",+14023981138,MaryEllen Fisher (Owner),https://www.bbb.org/us/ne/omaha/profile/billing-services/medical-billing-etc-0714-300022690,"10567 Hansen Ave, Omaha, NE 68124-3633",Non-Accredited
"Administrative Billing Solutions, Inc.",+17153037696,Kari S. Behlmer (President),https://www.bbb.org/us/wi/eau-claire/profile/billing-services/administrative-billing-solutions-inc-0694-44185137,"1226 Archer Ln, Eau Claire, WI 54703-0605",Non-Accredited
D&S Medical Billing Services Inc,+19493880108,Shahnaz Lewis (President/Owner),https://www.bbb.org/us/ca/laguna-niguel/profile/medical-billing/ds-medical-billing-services-inc-1126-13105658,"PO Box 7526, Laguna Niguel, CA 92607-7526",Non-Accredited
A+ Medical Billing,+19493080332,Abeer Marogi (Founder-CEO),https://www.bbb.org/us/ca/lake-forest/profile/medical-billing/a-medical-billing-1126-1000142295,"Lake Forest, CA 92630-3637",Non-Accredited
Billing Key,+16787565284,Nicholas Hawkins (Owner),https://www.bbb.org/us/ga/atlanta/profile/medical-billing/billing-key-0443-27966156,"2221 Peachtree Rd NE STE D-397, Atlanta, GA 30309-1148",Non-Accredited
Billing Dynamix,+17273869497,Thomas Jorno,https://www.bbb.org/us/fl/clearwater/profile/medical-billing/billing-dynamix-0653-90344528,"2857 Executive Dr STE 200, Clearwater, FL 33762-5584",Non-Accredited
Integrity Billing & Consulting LLC,+15035828188,Ginette M Zuras-Hummel (Managing Owner),https://www.bbb.org/us/or/wilsonville/profile/medical-business-administration/integrity-billing-consulting-llc-1296-1000048129/addressId/871878,"PO Box 3516, Wilsonville, OR 97070",Non-Accredited
Medical Billing Unlimited,+17173694417,April Wingert (Owner),https://www.bbb.org/us/pa/greencastle/profile/medical-billing/medical-billing-unlimited-0241-182819497,"4514 Rockdale Rd, Greencastle, PA 17225-8000",Non-Accredited
Acom Medical Billing,+14805452610,Elizabeth Meyer (Director of Operations),https://www.bbb.org/us/az/gilbert/profile/medical-billing/acom-medical-billing-1126-87002612,"1094 S Gilbert Rd Ste 203, Gilbert, AZ 85296-3481",Non-Accredited
Draper Precision Billing & Coding,+19282218961,Travis Draper (Member),https://www.bbb.org/us/az/flagstaff/profile/medical-coding/draper-precision-billing-coding-1126-1000048355,"Flagstaff, AZ 86004-5455",Non-Accredited
Schmidt Medical Billing,+18888948880,N/A,https://www.bbb.org/us/pa/pittsburgh/profile/medical-billing/schmidt-medical-billing-0141-71049184,"200 Mcknight Park Dr # 201, Pittsburgh, PA 15237",Non-Accredited
Stolze Medical Billing,+19095760111,Alyssa A Stolze (Billing Specialist),https://www.bbb.org/us/ca/victorville/profile/medical-billing/stolze-medical-billing-1126-850022321,"11736 Dellwood Rd, Victorville, CA 92392-1291",Non-Accredited
Enfinity Medical Billing,+17329440080,Shakeel Ahmad (Principal),https://www.bbb.org/us/nj/east-brunswick/profile/medical-billing/enfinity-medical-billing-0221-90234777,"197 Route 18, East Brunswick, NJ 08816-1440",Non-Accredited
Greensense Billing,+19096988022,Angel Salazar (Operations Manager),https://www.bbb.org/us/ca/corona/profile/medical-billing/greensense-billing-1126-850066962,"495 E Rincon St STE 206, Corona, CA 92879",Non-Accredited
SmileBound Billing,+18032001899,Dawn Walker (CEO),https://www.bbb.org/us/nj/millville/profile/medical-billing/smilebound-billing-0221-90234692,"Millville, NJ 08332-4602",Accredited
Billing Solutions,+17404174968,Jackie Kruse (Owner),https://www.bbb.org/us/oh/delaware/profile/medical-billing/billing-solutions-0302-14008220,"15 E Lincoln Ave, Delaware, OH 43015-1605",Non-Accredited
Operation Billing,+18887235962,Steve Herrera (Owner),https://www.bbb.org/us/tx/fort-worth/profile/medical-billing/operation-billing-0825-235981805,"4500 Mercantile Plaza Dr Ste 300, Fort Worth, TX 76137-4206",Non-Accredited
Billing Matters,+16502452726,Beth Goddard (Owner),https://www.bbb.org/us/ca/redwood-city/profile/medical-billing/billing-matters-1116-538335,"570 El Camino Real STE 363, Redwood City, CA 94063-1200",Non-Accredited
Sirius Medical Billing,+13603980878,Catherine Campbell (Owner),https://www.bbb.org/us/wa/bellingham/profile/medical-billing/sirius-medical-billing-1296-22959892,"Bellingham, WA 98225-3100",Non-Accredited
PDXPERT Medical Billing,+15038608913,Cortney Rouse,https://www.bbb.org/us/or/portland/profile/medical-billing/pdxpert-medical-billing-1296-1000096262,"Portland, OR 97220-2709",Non-Accredited
Armedix Medical Billing,+14054184506,Randall Murray (Owner),https://www.bbb.org/us/ok/oklahoma-city/profile/medical-billing/armedix-medical-billing-0995-90074308,"3705 W Memorial Rd Ste 1304, Oklahoma City, OK 73134-1503",Non-Accredited
Element Medical Billing,N/A,Jared Turner (Owner/Manager),https://www.bbb.org/us/fl/port-saint-lucie/profile/medical-billing/element-medical-billing-0633-92046033,"2000 SE Port St Lucie Blvd Suite B, Port Saint Lucie, FL 34952",Non-Accredited
Prosperity Medical Billing,+16062076318,William B. Woodward (Owner),https://www.bbb.org/us/ky/bowling-green/profile/medical-billing/prosperity-medical-billing-0402-159166505,"Bowling Green, KY 42103-7116",Non-Accredited
Talbert's Medical Billing,+13378559023,Mary Talbert (CEO),https://www.bbb.org/us/la/lake-charles/profile/medical-billing/talberts-medical-billing-0925-90006328,"109 Executive Drive Suite C, Lake Charles, LA 70611",Accredited
Medical Billing Alternatives,+14198245203,Linda Hoffman (Owner),https://www.bbb.org/us/oh/sylvania/profile/billing-services/medical-billing-alternatives-0422-18000291,"5600 Monroe St Building B Ste 101, Sylvania, OH 43560-0703",Non-Accredited
Comprehensive Medical Billing,+18663218433,N/A,https://www.bbb.org/us/ok/oklahoma-city/profile/billing-services/comprehensive-medical-billing-0995-90011697,"9301 S. WESTERN AVE., OKLAHOMA CITY, OK 73139",Non-Accredited
Prince's Medical Billing,+17073349724,Loretta Lary (Owner),https://www.bbb.org/us/ca/vallejo/profile/billing-services/princes-medical-billing-1116-305648,"391 Sawyer St., Vallejo, CA 94589",Non-Accredited
Denton Medical Billing,+19405655846,Robin Johnston (Owner),https://www.bbb.org/us/tx/denton/profile/billing-services/denton-medical-billing-0875-90013540,"2019 Malone, Denton, TX 76201",Non-Accredited
Advantage Medical Billing,+15303457699,Jennifer Redeker (Owner),https://www.bbb.org/us/ca/chico/profile/medical-billing/advantage-medical-billing-1156-47020324,"Chico, CA 95973-5827",Accredited
Maximus Medical Billing,+12404896260,Maria Jison (President),https://www.bbb.org/us/md/silver-spring/profile/billing-services/maximus-medical-billing-0241-182900463,"11006 Veirs Mill Rd PMB 261, Silver Spring, MD 20902-2582",Non-Accredited
Stanford Medical Billing,+15594381245,Bette Stanford (Owner),https://www.bbb.org/us/ca/fresno/profile/billing-services/stanford-medical-billing-1126-59004124,"550 E Herndon Ave Ste 105A, Fresno, CA 93720-2992",Non-Accredited
Medical Billing Specialists,+15033875436,Kevin Worden,https://www.bbb.org/us/wa/everett/profile/medical-billing/medical-billing-specialists-1296-1000055840,"Everett, WA 98201-1874",Non-Accredited
Medical Billing Solutions,+19196980913,Mickey Perry (Customer Contact),https://www.bbb.org/us/nc/durham/profile/medical-billing/medical-billing-solutions-0593-90079402,"801 E Woodcroft Pkwy Apt 724, Durham, NC 27713-8268",Non-Accredited
Tammy's Medical Billing,+19074220488,Tammy Foutz (Owner),https://www.bbb.org/us/ak/seward/profile/medical-billing/tammys-medical-billing-1296-1000095075,"Seward, AK 99664",Non-Accredited
Outsource Medical Billing,N/A,Sharon Burge (Owner),https://www.bbb.org/us/md/joppa/profile/billing-services/outsource-medical-billing-0011-90190447,"207 Stillmeadow Dr, Joppa, MD 21085-4750",Non-Accredited
Park Medical Billing,+12015857306,Chol Park (CEO/Founder),https://www.bbb.org/us/nj/englewood/profile/medical-billing/park-medical-billing-0221-90169074,"106 Grand Ave Ste 210, Englewood, NJ 07631-3565",Non-Accredited
Nexus Medical Billing,+18772722900,Christine,https://www.bbb.org/us/ma/springfield/profile/medical-billing/nexus-medical-billing-0261-289023,"PO Box 15109, Springfield, MA 01115",Non-Accredited
