name,phone,principal_contact,url,address,accreditation
Human Medical Billing,+18776691070,Ramesh Jayakuma (Owner),https://www.bbb.org/us/ca/ventura/profile/medical-billing/human-medical-billing-1236-92088165,"2674 E Main St Ste E306, Ventura, CA 93003-2820",Accredited
Lees Medical Billing,+12292340062,Katy Saders (Office Supervisor),https://www.bbb.org/us/fl/milton/profile/medical-billing/lees-medical-billing-0683-90078578,"Milton, FL 32571-2696",Non-Accredited
Ultimate Medical Billing,+15407519146,Rhonda Jeffery (Owner),https://www.bbb.org/us/va/round-hill/profile/billing-services/ultimate-medical-billing-0241-124457597,"17370 Avion Sq, Round Hill, VA 20141-2492",Non-Accredited
"Montana Medical Billing, L.L.C.",+14062277065,Morgan Williams (Owner),https://www.bbb.org/us/mt/columbia-fls/profile/medical-business-administration/montana-medical-billing-llc-1296-1000008635,"3200 Trumble Creek Rd, Columbia Fls, MT 59912-9048",Accredited
Hart Medical Billing,+17078393013,Harriette Hart (Owner),https://www.bbb.org/us/ca/mckinleyville/profile/billing-services/hart-medical-billing-1116-195300,"PO Box 2447, Mckinleyville, CA 95519-2447",Non-Accredited
Telfonix Medical Billing,+19414836633,N/A,https://www.bbb.org/us/fl/nokomis/profile/medical-consultants/telfonix-medical-billing-0403-8002369,"890 Hillcrest Drive, Nokomis, FL 34275",Non-Accredited
"Seaside Medical Billing, Inc.",+15085483699,Charlene Soares (Owner),https://www.bbb.org/us/ma/teaticket/profile/medical-billing/seaside-medical-billing-inc-0021-112487,"PO Box 2460, Teaticket, MA 02536-2460",Non-Accredited
Billing Paradise,+18885719069,Venkat Aravamudhan (CFO),https://www.bbb.org/us/ca/diamond-bar/profile/medical-billing/billing-paradise-1216-260860,"732 N Diamond Bar Blvd STE 110, Diamond Bar, CA 91765-1043",Non-Accredited
ePsych Billing,+13233745479,Alexander Zaki (President),https://www.bbb.org/us/nv/las-vegas/profile/medical-billing/epsych-billing-1086-90093585,"2300 W Sahara Ave Ste 800, Las Vegas, NV 89102-4397",Non-Accredited
Ultimate Billing,+14697445853,Marina Adelman (Founder),https://www.bbb.org/us/ri/west-warwick/profile/medical-billing/ultimate-billing-0021-543902,"1600 Division Rd Ste 2000, West Warwick, RI 02893-7574",Non-Accredited
Billing Depot,+16093718920,Eriz Lirov (COO),https://www.bbb.org/us/nj/east-windsor/profile/medical-billing/billing-depot-0221-90108714,"415 Dutch Neck Rd, East Windsor, NJ 08520-1201",Non-Accredited
Digital Med Billing Solutions LLC,+14073775484,N/A,https://www.bbb.org/us/fl/orlando/profile/medical-billing/digital-med-billing-solutions-llc-0733-235968973,"1322 N Pine Hills Rd, Orlando, FL 32808-4832",Non-Accredited
Allstars Medical Billing,+15014240123,"Muhammad ""Imran"" Siddique (Owner)",https://www.bbb.org/us/ca/walnut-creek/profile/medical-billing/allstars-medical-billing-0935-90386244,"2121 N California Blvd Ste 243, Walnut Creek, CA 94596-3572",Non-Accredited
Revu Billing,+18889999744,Business Manager,https://www.bbb.org/us/il/bloomingdale/profile/accountant/revu-billing-0654-1000108584,"175 S Bloomingdale Rd, Bloomingdale, IL 60108",Non-Accredited
Atticus Medical Billing,+18009604662,Customer Service (Manager),https://www.bbb.org/us/ca/thousand-oaks/profile/medical-billing/atticus-medical-billing-1236-92021487,"5776 Lindero Canyon Road Suite D-451, Thousand Oaks, CA 91362",Non-Accredited
Accelerated Medical Billing,+17277818460,N/A,https://www.bbb.org/us/fl/saint-petersburg/profile/medical-billing/accelerated-medical-billing-0653-90399628/addressId/255877,"1209 1st St NE, Saint Petersburg, FL 33701-1811",Non-Accredited
Savant Medical Billing,+13605677154,Susanne Noga (Owner),https://www.bbb.org/us/wa/vancouver/profile/medical-billing/savant-medical-billing-1296-1000087929/addressId/826424,"6119 NE 103rd Ct, Vancouver, WA 98662",Non-Accredited
Endless Billing,+18779271619,Wendely Moodie-Naranjo (Executive),https://www.bbb.org/us/ca/tarzana/profile/medical-billing/endless-billing-1216-1000009205,"6167 Reseda blvd, tarzana, CA 91335",Non-Accredited
Sigma Billing,+19372087288,Tracy Hammond (Executive Director),https://www.bbb.org/us/oh/dayton/profile/medical-billing/sigma-billing-0322-3857,"1520 S Main St, Dayton, OH 45409",Non-Accredited
EasyCare Billing,+16098407792,N/A,https://www.bbb.org/us/nj/kendall-park/profile/medical-billing/easycare-billing-0221-90175229,"105 Daniel Ct, Kendall Park, NJ 08824-1530",Non-Accredited
Camelot Medical Billing,+16199429128,Wendy R Caudle (Owner),https://www.bbb.org/us/ca/chula-vista/profile/medical-billing/camelot-medical-billing-1126-172007228,"417 Nickman St, Chula Vista, CA 91911",Non-Accredited
Specialty Medical Billing,+19044107938,Judy Ullo (Owner),https://www.bbb.org/us/fl/jacksonville/profile/medical-billing/specialty-medical-billing-0403-235960875,"614 Cahoon Rd N 614 Cahoon Rd N, Jacksonville, FL 32220",Non-Accredited
Numeric Medical Billing,+14137326544,Joe McGovern (President),https://www.bbb.org/us/ma/west-springfield/profile/medical-billing/numeric-medical-billing-0261-347806,"195 Wayside Ave, West Springfield, MA 01089",Non-Accredited
DMJM Medical Billing,+18042750606,Jeanne M Haskins (Owner),https://www.bbb.org/us/va/n-chesterfield/profile/medical-billing/dmjm-medical-billing-0603-63400221,"4012 Hawkbill Ct, N Chesterfield, VA 23237",Non-Accredited
Anderson Medical Billing,+17342844105,N/A,https://www.bbb.org/us/mi/southgate/profile/billing-services/anderson-medical-billing-0372-90000668,"14550 Balsam Street, Southgate, MI 48195",Non-Accredited
Sven Medical Billing,+12486747133,N/A,https://www.bbb.org/us/mi/clarkston/profile/billing-services/sven-medical-billing-0372-20004855,"5880 Pine Knob Lane, Clarkston, MI 48346",Non-Accredited
WesDak Medical Billing,+16052555507,David Baker (Vice President),https://www.bbb.org/us/sd/rapid-city/profile/medical-billing/wesdak-medical-billing-0714-300064426,"809 South St Ste 210, Rapid City, SD 57701-3583",Accredited
Trinity Medical Billing,+14795713174,Leslie Clay Cooper (Owner),https://www.bbb.org/us/ar/fayetteville/profile/medical-billing/trinity-medical-billing-0935-90305889,"PO Box 10050, Fayetteville, AR 72703",Non-Accredited
Medical Billing Network,+12077822492,Louise Carpentier (Owner),https://www.bbb.org/us/me/lewiston/profile/medical-billing/medical-billing-network-0021-329422,"6 Dupuis Ave # B, Lewiston, ME 04240",Non-Accredited
Medical Billing Simplified,+19037525691,Lindsey Michelle Pautsky (Owner),https://www.bbb.org/us/tx/arp/profile/medical-billing/medical-billing-simplified--1075-28137758,"10811 FM 3226, Arp, TX 75750",Non-Accredited
Medical Billing Services,+19035341104,Carol Barrios,https://www.bbb.org/us/tx/tyler/profile/medical-billing/medical-billing-services-1075-28114624,"302 Powell Dr, Tyler, TX 75703-4635",Non-Accredited
Renaissance Medical Billing,+14238772312,Durie Andrews (Director of Business Development),https://www.bbb.org/us/tn/chattanooga/profile/billing-services/renaissance-medical-billing-0483-40035843,"5805 Lee Hwy STE 302, Chattanooga, TN 37421-3546",Non-Accredited
"MedNet Medical Billing and Collection Services, Inc.",+15053410070,Jen Jaciw (Business Manager),https://www.bbb.org/us/nm/albuquerque/profile/medical-billing/mednet-medical-billing-and-collection-services-inc-0806-99149950,"7801 Academy Rd NE Bldg 2 Ste 102, Albuquerque, NM 87109-3379",Non-Accredited
G & P Billing Services LLC,+14192247056,Valerie Kline (President/Manager),https://www.bbb.org/us/oh/lima/profile/medical-billing/g-p-billing-services-llc-0422-8004351,"PO Box 397, Lima, OH 45802-0397",Non-Accredited
"Professional Billing, Inc",+18776966589,Daniel Crocker (President),https://www.bbb.org/us/oh/powell/profile/medical-business-administration/professional-billing-inc-0302-70075862,"PO Box 1026, Powell, OH 43065-1026",Non-Accredited
Mercy Physician Billing,+13125676691,Eleanor L. Copp (Managed Care Physician Services),https://www.bbb.org/us/il/chicago/profile/billing-services/mercy-physician-billing-0654-33002223,"2525 S Michigan Ave # B-522, Chicago, IL 60616-2333",Non-Accredited
On Point Medical Billing,+12482813508,Sophia Hooper (Owner),https://www.bbb.org/us/mi/southfield/profile/billing-services/on-point-medical-billing-0372-90031304,"29200 Southfield Rd., S. 202A, Southfield, MI 48076",Non-Accredited
CF Medical Billing LLC,+13525368140,Theresa Stone (Owner),https://www.bbb.org/us/fl/clermont/profile/medical-billing/cf-medical-billing-llc-0733-90337120,"3705 S Highway 27 STE 203, Clermont, FL 34711-7950",Accredited
Avedis Medical Billing Solutions,+16617062911,Tambra A. Head (Owner),https://www.bbb.org/us/ca/bakersfield/profile/medical-billing/avedis-medical-billing-solutions-1126-89043575,"Bakersfield, CA 93314-3703",Non-Accredited
Eastern Medical Billing LLC,+12522694807,N/A,https://www.bbb.org/us/nc/havelock/profile/medical-billing/eastern-medical-billing-llc-0593-90363629,"Havelock, NC 28532-2367",Accredited
Cardinal Medical Billing LLC,+13608636186,Krystee Nixon (CEO),https://www.bbb.org/us/wa/snohomish/profile/medical-billing/cardinal-medical-billing-llc-1296-1000105223,"Snohomish, WA 98290-7214",Non-Accredited
Independent Medical Billing LLC,+16023495869,Christina Miller (Owner),https://www.bbb.org/us/az/phoenix/profile/medical-billing/independent-medical-billing-llc-1126-1000091289,"Phoenix, AZ 85033-1856",Non-Accredited
Online Medical Billing Solutions,+19099499622,Michele Shamell (Owner),https://www.bbb.org/us/ca/upland/profile/medical-billing/online-medical-billing-solutions-1126-89082695,"876 N Mountain Ave STE 200T, Upland, CA 91786-4166",Non-Accredited
Providers Medical Billing LLC,+19549903693,Yadira Martinez (Managing Member),https://www.bbb.org/us/fl/hialeah/profile/medical-billing/providers-medical-billing-llc-0633-90614276,"9326 W 33rd Ln, Hialeah, FL 33018-2068",Non-Accredited
Transcend Medical Billing LLC,+14256540001,Sally Thompson (Owner),https://www.bbb.org/us/wa/issaquah/profile/medical-billing/transcend-medical-billing-llc-1296-22713295,"22510 SE 64th Pl Ste 130, Issaquah, WA 98027",Non-Accredited
Efficient Medical Billing Service,+15033842988,David Waite (Member),https://www.bbb.org/us/or/portland/profile/medical-billing/efficient-medical-billing-service-1296-1000098926,"6635 N Baltimore Ave # 236, Portland, OR 97203-5454",Non-Accredited
Premier Medical Billing LLC,+15038108166,Loubna Ezat Agha (Owner),https://www.bbb.org/us/or/west-linn/profile/medical-billing/premier-medical-billing-llc-1296-1000112835,"West Linn, OR 97068-9277",Non-Accredited
West Medical Billing Services,+15412669038,Joy M West (Registered Agent),https://www.bbb.org/us/or/coos-bay/profile/medical-billing/west-medical-billing-services-1296-1000040336,"96772 FOX TROT LANE, Coos Bay, OR 97420",Non-Accredited
Carolina Medical Billing Inc,+17047085054,Matthew Pomponio (President),https://www.bbb.org/us/nc/matthews/profile/medical-billing/carolina-medical-billing-inc-0473-104763,"317 Matthews Mint Hill Rd Ste 210, Matthews, NC 28105-2895",Non-Accredited
Vista Medical Billing LLC,+17203895995,Scott Klohs (Registered Agent),https://www.bbb.org/us/co/aurora/profile/medical-billing/vista-medical-billing-llc-1296-90266739,"2851 S Parker Rd #1-0730, Aurora, CO 80014",Non-Accredited
BC Medical Billing LLC,+18446071980,Belinda Caballero (Managing Member),https://www.bbb.org/us/fl/hollywood/profile/medical-billing/bc-medical-billing-llc-0633-92024085,"2001 Tyler St Ste 211, Hollywood, FL 33020-4578",Non-Accredited
RPM Medical Billing LLC,+18555776633,Joshua Ostler (Member),https://www.bbb.org/us/co/greenwood-village/profile/medical-billing/rpm-medical-billing-llc-1296-1000139565,"5600 Greenwood Plaza Blvd Ste 150, Greenwood Village, CO 80111",Non-Accredited
Cherry Medical Billing Solutions,+15039834722,Sheryl Lynn Abid (Owner),https://www.bbb.org/us/or/salem/profile/billing-services/cherry-medical-billing-solutions-1296-1000140923,"Salem, OR 97306-1959",Accredited
Advanced Medical Billing Company,+17322864646,Elena Hammer (Owner),https://www.bbb.org/us/nj/toms-river/profile/medical-billing/advanced-medical-billing-company-0221-90080955,"231 Azalea Ct, Toms River, NJ 08753-1330",Non-Accredited
Professional Medical Billing Group,+17346419991,Debbie Magill (President),https://www.bbb.org/us/mi/westland/profile/medical-billing/professional-medical-billing-group-0372-49004482,"1515 S Wayne Rd, Westland, MI 48186-5436",Accredited
Diligent Medical Billing LLC,+14256161496,Karen Salmon (Member),https://www.bbb.org/us/wa/woodinville/profile/medical-billing/diligent-medical-billing-llc-1296-1000086915,"Woodinville, WA 98077-8006",Accredited
Valley View Medical Billing,+18888536043,Lindsey Weatherford (Owner),https://www.bbb.org/us/ca/menifee/profile/medical-billing/valley-view-medical-billing-1126-850022097,"30141 Antelope Rd Ste D340, Menifee, CA 92584-7001",Non-Accredited
Genesis Medical Billing Services,+18008795015,Susan Sabadach (President),https://www.bbb.org/us/tx/fort-worth/profile/medical-billing/genesis-medical-billing-services-0825-235971772,"6421 Camp Bowie Blvd Ste 406, Fort Worth, TX 76116-5466",Accredited
Indiana Preferred Medical Billing,+17652133238,Jill McCarthy (President),https://www.bbb.org/us/in/muncie/profile/medical-billing/indiana-preferred-medical-billing-0382-13000631,"PO Box 112, Muncie, IN 47308-0112",Non-Accredited
Elite Medical Billing LLC,+18662898072,Forrest Vance (Owner),https://www.bbb.org/us/sc/greenville/profile/medical-billing/elite-medical-billing-llc-0673-90001934,"1200 Woodruff Rd Ste G22, Greenville, SC 29607-5735",Accredited
AMBS Medical Billing Services,+13043637000,Bryan K Towns (President),https://www.bbb.org/us/wv/fairmont/profile/medical-billing/ambs-medical-billing-services-0282-92005432,"100 Avery Olivia Way Ste C, Fairmont, WV 26554-9375",Non-Accredited
Benedict Billing Solutions,+18055875108,Joan Palmeiri (Executive Director),https://www.bbb.org/us/ca/simi-valley/profile/medical-billing/benedict-billing-solutions-1236-92025010,"PO Box 871, Simi Valley, CA 93062-0871",Non-Accredited
Rainier Billing LLC,+13604743836,Brandi Goellner (Owner),https://www.bbb.org/us/wa/marysville/profile/medical-billing/rainier-billing-llc-1296-1000119066,"Marysville, WA 98270-6854",Non-Accredited
Skyline Medical Billing Management,+19282271167,Jennifer Moran (Owner),https://www.bbb.org/us/az/dewey/profile/medical-billing/skyline-medical-billing-management-1126-1000061790,"Dewey, AZ 86327-8236",Non-Accredited
Vision Medical Billing Services,+19195216480,Gwendolyn Thompson (Owner),https://www.bbb.org/us/nc/raleigh/profile/medical-billing/vision-medical-billing-services-0593-90155722,"6325 Falls of Neuse Rd 35-315, Raleigh, NC 27615-6877",Non-Accredited
Coastal Medical Billing LLC,+13614528360,Tricia R Molina (Executive Director/CEO),https://www.bbb.org/us/tx/corpus-christi/profile/medical-billing/coastal-medical-billing-llc-0825-1000210070,"5151 Flynn Pkwy Ste 115, Corpus Christi, TX 78411-4318",Non-Accredited
Advanced Medical Billing Services,+12103630381,Dana Cooper (President),https://www.bbb.org/us/tx/boerne/profile/medical-billing/advanced-medical-billing-services-0825-1000190255,"Boerne, TX 78006-1415",Non-Accredited
Dynamic Medical Billing Service,+13033463414,Bob Tulper (Co-Owner),https://www.bbb.org/us/co/littleton/profile/medical-billing/dynamic-medical-billing-service-1296-46001497,"PO Box 631248, Littleton, CO 80163-1248",Non-Accredited
"Medical Billing Concepts, Inc.",+18004369305,Dana Thompson (President),https://www.bbb.org/us/fl/boynton-beach/profile/medical-billing/medical-billing-concepts-inc-0633-4002981,"211 S Federal Hwy 7 & 8, Boynton Beach, FL 33435",Non-Accredited
Lauren Wadsworth Medical Billing,+19723834489,Lauren Wadswroth (Owner/Operator),https://www.bbb.org/us/tx/murphy/profile/medical-billing/lauren-wadsworth-medical-billing-0875-91339777,"120 E FM 544 Ste. 72, PMB 460, Murphy, TX 75094",Non-Accredited
A1 Medical Billing Management,+18125374096,Shirley Robinson (Owner),https://www.bbb.org/us/in/lawrenceburg/profile/billing-services/a1-medical-billing-management-0292-3005684,"21207 Interlochen Ln, Lawrenceburg, IN 47025-9017",Non-Accredited
Absolute Medical Billing Specialists,+16233622129,Maria Parial (Owner),https://www.bbb.org/us/az/peoria/profile/billing-services/absolute-medical-billing-specialists-1126-97011941,"10529 W. Donald Drive, Peoria, AZ 85383-1757",Non-Accredited
Rapid Return Medical Billing,+12188292455,Jake Tiggelaar (Owner),https://www.bbb.org/us/mn/brainerd/profile/billing-services/rapid-return-medical-billing-0704-96157177,"2011 S 6th St, Brainerd, MN 56401-4528",Non-Accredited
Sublime Billing Services,+19493001657,Michael Priesing (Owner),https://www.bbb.org/us/ca/santa-ana/profile/medical-billing/sublime-billing-services-1126-1000067807,"2414 S Fairview St Ste 215, Santa Ana, CA 92704-5318",Non-Accredited
AllClaims Medical Billing Solutions,+16193472527,Maria L Laygo (Owner),https://www.bbb.org/us/ca/chula-vista/profile/billing-services/allclaims-medical-billing-solutions-1126-172001599,"Chula Vista, CA 91910",Non-Accredited
"Medical Billing Technologies, Inc.",+15596276267,Roberta Stephens (CEO/President),https://www.bbb.org/us/ca/visalia/profile/billing-services/medical-billing-technologies-inc-1126-83001343,"PO Box 709, Visalia, CA 93279-0709",Non-Accredited
Robles Medical Billing LLC,+15208696214,Martha Robles-Stahl (Owner),https://www.bbb.org/us/az/phoenix/profile/medical-billing/robles-medical-billing-llc-1126-1000077401,"Phoenix, AZ 85032-4244",Non-Accredited
MediPro Billing Solutions,+13608728957,Catie M Mohr (Owner),https://www.bbb.org/us/wa/orting/profile/medical-billing/medipro-billing-solutions-1296-1000041502,"1320 Riddell Ave NE, Orting, WA 98360-7444",Non-Accredited
Advantage Billing Services,+12067953781,Melinda Cook (Owner),https://www.bbb.org/us/wa/kirkland/profile/billing-services/advantage-billing-services-1296-22943638,"11631 NE 155th St, Kirkland, WA 98034-4659",Non-Accredited
Kingston Medical Billing LLC,+13178547109,Tommara Montgomery (Owner),https://www.bbb.org/us/in/indianapolis/profile/medical-billing/kingston-medical-billing-llc-0382-90046149,"Indianapolis, IN 46256-3461",Non-Accredited
Liberty Billing LLC,+14252181944,Lisa Schmidt (Managing  Member),https://www.bbb.org/us/ca/palm-desert/profile/medical-billing/liberty-billing-llc-1296-1000012359,"74401 Hovley Lane East Apt 418, Palm Desert, CA 92260",Non-Accredited
Unified Billing LLC,+14259391293,Monica Severtsen (President),https://www.bbb.org/us/wa/bothell/profile/medical-billing/unified-billing-llc-1296-1000035606,"12100 NE 195th St Ste 325, Bothell, WA 98011-5768",Non-Accredited
Billing Ally LLC,+13609535300,Robert Laub (President),https://www.bbb.org/us/wa/vancouver/profile/medical-billing/billing-ally-llc-1296-1000063665,"800 NE Tenney Rd Ste 110-222, Vancouver, WA 98685",Non-Accredited
Billing Solutions Unlimited,+18886925592,Kenya Batts (Owner),https://www.bbb.org/us/nc/rocky-mount/profile/medical-billing/billing-solutions-unlimited-0593-90287371,"261 Whetstone Ct., Rocky Mount, NC 27804",Non-Accredited
Triangle Billing Systems,+19195621882,Dennis Chasten (Owner),https://www.bbb.org/us/nc/wake-forest/profile/medical-billing/triangle-billing-systems-0593-90078667,"422 Wild Duck Ct, Wake Forest, NC 27587-5505",Non-Accredited
Guardian Billing LLC,+16127303502,Melinda M Flaig (Owner),https://www.bbb.org/us/mn/shakopee/profile/medical-billing/guardian-billing-llc-0704-1000047625,"1715 Fox Run, Shakopee, MN 55379",Non-Accredited
Coastal Billing LLC,+18337239219,Maria Allen,https://www.bbb.org/us/nc/wilmington/profile/medical-billing/coastal-billing-llc-0593-90051103,"PO Box 7641, Wilmington, NC 28406-7641",Non-Accredited
Chesapeake Medical Billing Services,+14106302510,Cindie Martin (President),https://www.bbb.org/us/md/white-marsh/profile/medical-billing/chesapeake-medical-billing-services-0011-90162683,"11433 Pulaski Hwy Ste 6, White Marsh, MD 21162-1517",Non-Accredited
